Ratio: 0.2850
0	-0.02
1	0.14
2	-0.13
3	-0.06
4	0.05
5	0.00
6	-0.00
7	-0.09
8	-0.06
9	2.02
10	-0.11
11	0.04
12	0.07
13	-0.06
14	-0.11
15	-0.06
16	-0.05
17	0.82
18	-0.15
19	-0.03
20	-0.03
21	-0.03
22	-0.04
23	-0.01
24	-0.00
25	-0.01
26	-0.04
27	-0.03
28	0.03
29	-0.10
30	-0.05
31	0.09
32	-0.09
33	0.06
34	0.07
35	-0.07
36	-0.00
37	0.04
38	-0.05
39	-0.03
40	-0.00
41	0.05
42	0.02
43	-0.09
44	0.08
45	0.03
46	-0.15
47	-0.02
48	0.04
49	0.01
50	-0.01
51	0.07
52	-0.05
53	0.01
54	0.04
55	0.03
56	-0.00
57	-0.04
58	0.01
59	-0.07
60	-0.01
61	-0.02
62	0.01
63	0.12
64	-0.01
65	-0.06
66	-0.00
67	-0.00
68	0.03
69	0.13
70	0.04
71	0.05
72	0.11
73	-0.01
74	0.02
75	0.01
76	0.07
77	-0.06
78	-0.05
79	0.13
80	-0.05
81	0.07
82	-0.12
83	-0.04
84	0.06
85	-0.20
86	0.02
87	-0.14
88	0.18
89	0.07
90	-0.05
91	-0.02
92	-0.02
93	0.07
94	0.08
95	-0.03
96	-0.04
97	-0.05
98	-0.01
99	-0.04
100	-0.02
101	0.02
102	-0.09
103	-0.06
104	0.03
105	-0.55
106	0.08
107	0.02
108	0.04
109	0.02
110	0.03
111	-0.08
112	0.09
113	-0.08
114	0.01
115	-0.03
116	0.01
117	-0.03
118	-0.02
119	-0.03
120	0.07
121	-0.05
122	0.01
123	0.02
124	-0.03
125	0.05
126	-0.02
127	-0.11
128	-0.02
129	-0.02
130	-0.00
131	-0.04
132	-0.08
133	0.03
134	0.05
135	0.05
136	0.00
137	0.01
138	-0.01
139	0.00
140	-1.12
141	0.11
142	0.10
143	0.01
144	0.02
145	-0.01
146	-0.04
147	0.03
148	0.02
149	-0.05
150	-0.02
151	0.01
152	0.10
153	0.03
154	-0.03
155	-0.02
156	-0.08
157	-0.06
158	-0.01
159	-0.07
160	-0.06
161	0.00
162	-0.04
163	-0.04
164	-0.08
165	-0.12
166	0.05
167	-0.04
168	0.10
169	0.02
170	-0.02
171	-0.02
172	0.04
173	-0.08
174	-0.09
175	0.04
176	0.00
177	-0.05
178	-0.02
179	-0.11
180	-0.03
181	-0.10
182	-0.07
183	-0.04
184	-0.04
185	-0.02
186	-0.05
187	-0.01
188	0.04
189	-0.00
190	0.00
191	0.03
192	-0.10
193	0.05
194	0.01
195	0.08
196	-0.02
197	-0.10
198	-0.05
199	0.15
200	-0.07
201	-0.01
202	-0.10
203	-0.01
204	0.15
205	0.02
206	0.06
207	-0.03
208	0.04
209	0.01
210	-0.05
211	-0.07
212	-0.04
213	-0.11
214	0.08
215	0.12
216	-0.05
217	0.01
218	-0.13
219	0.00
220	0.04
221	0.02
222	-0.04
223	0.05
224	-0.01
225	-0.02
226	0.01
227	0.11
228	-0.03
229	0.01
230	-0.05
231	0.04
232	0.05
233	0.06
234	-0.08
235	-0.05
236	-0.02
237	-0.07
238	-0.06
239	0.07
240	0.02
241	0.05
242	0.00
243	0.03
244	0.11
245	-0.10
246	-0.06
247	-0.13
248	-0.12
249	0.09
250	0.03
251	-0.04
252	-0.05
253	-0.03
254	0.01
255	0.18
256	0.10
257	-0.02
258	-0.02
259	0.08
260	0.10
261	0.10
262	-0.03
263	0.07
264	0.07
265	-0.01
266	0.00
267	0.00
268	0.22
269	-0.01
270	0.09
271	-0.05
272	-0.08
273	-0.10
274	-0.08
275	-0.00
276	-0.00
277	0.08
278	0.04
279	0.16
280	0.19
281	0.04
282	0.05
283	-0.08
284	-0.04
285	-0.06
286	0.09
287	-0.04
288	0.10
289	-0.03
290	-0.16
291	0.03
292	0.01
293	-0.03
294	-0.01
295	0.02
296	0.00
297	-0.01
298	0.02
299	0.03
