shall	6.0000	0.0012	3.0412
speak	10.0000	0.0020	3.2375
THE MAN AT THE HELM	1.0000	0.0002	2.4971
completed	1.0000	0.0002	2.4971
himself	3.0000	0.0006	2.7981
words	7.0000	0.0014	3.0992
THE MAN	1.0000	0.0002	2.4971
at	23.0000	0.0046	3.5763
helm	1.0000	0.0002	2.4971
remonstrance	1.0000	0.0002	2.4971
impossible	1.0000	0.0002	2.4971
steering	1.0000	0.0002	2.4971
done	6.0000	0.0012	3.0412
till	7.0000	0.0014	3.0992
THE NEXT VARNISHING DAY	1.0000	0.0002	2.4971
during	1.0000	0.0002	2.4971
these	2.0000	0.0004	2.6732
bewildering	1.0000	0.0002	2.4971
intervals	1.0000	0.0002	2.4971
usually	1.0000	0.0002	2.4971
sailed	5.0000	0.0010	2.9742
backwards	1.0000	0.0002	2.4971
some	10.0000	0.0020	3.2375
extent	1.0000	0.0002	2.4971
connected	1.0000	0.0002	2.4971
lay	1.0000	0.0002	2.4971
JABBERWOCK	1.0000	0.0002	2.4971
let	5.0000	0.0010	2.9742
me	14.0000	0.0028	3.3722
opportunity	1.0000	0.0002	2.4971
answering	1.0000	0.0002	2.4971
question	2.0000	0.0004	2.6732
has	5.0000	0.0010	2.9742
often	3.0000	0.0006	2.7981
asked	1.0000	0.0002	2.4971
pronounce	1.0000	0.0002	2.4971
slithy	2.0000	0.0004	2.6732
toves	2.0000	0.0004	2.6732
long	3.0000	0.0006	2.7981
writhe	1.0000	0.0002	2.4971
pronounced	3.0000	0.0006	2.7981
rhyme	1.0000	0.0002	2.4971
groves	1.0000	0.0002	2.4971
again	4.0000	0.0008	2.8950
FIRST	5.0000	0.0010	2.9742
o	3.0000	0.0006	2.7981
borogoves	1.0000	0.0002	2.4971
like	9.0000	0.0018	3.1961
borrow	1.0000	0.0002	2.4971
heard	4.0000	0.0008	2.8950
people	1.0000	0.0002	2.4971
try	2.0000	0.0004	2.6732
give	2.0000	0.0004	2.6732
sound	5.0000	0.0010	2.9742
worry	1.0000	0.0002	2.4971
human	1.0000	0.0002	2.4971
perversity	1.0000	0.0002	2.4971
also	2.0000	0.0004	2.6732
seems	2.0000	0.0004	2.6732
fitting	1.0000	0.0002	2.4971
occasion	1.0000	0.0002	2.4971
notice	1.0000	0.0002	2.4971
hard	1.0000	0.0002	2.4971
HUMPTY DUMPTY	1.0000	0.0002	2.4971
theory	1.0000	0.0002	2.4971
TWO	4.0000	0.0008	2.8950
meanings	1.0000	0.0002	2.4971
packed	2.0000	0.0004	2.6732
into	2.0000	0.0004	2.6732
word	10.0000	0.0020	3.2375
portmanteau	1.0000	0.0002	2.4971
right	5.0000	0.0010	2.9742
explanation	1.0000	0.0002	2.4971
instance	1.0000	0.0002	2.4971
fuming	4.0000	0.0008	2.8950
furious	5.0000	0.0010	2.9742
make	1.0000	0.0002	2.4971
up	7.0000	0.0014	3.0992
your	12.0000	0.0024	3.3100
mind	4.0000	0.0008	2.8950
you	50.0000	0.0101	3.9036
say	12.0000	0.0024	3.3100
both	1.0000	0.0002	2.4971
leave	2.0000	0.0004	2.6732
unsettled	1.0000	0.0002	2.4971
now	7.0000	0.0014	3.0992
open	2.0000	0.0004	2.6732
mouth	1.0000	0.0002	2.4971
thoughts	1.0000	0.0002	2.4971
incline	1.0000	0.0002	2.4971
little	2.0000	0.0004	2.6732
towards	2.0000	0.0004	2.6732
turn	2.0000	0.0004	2.6732
even	7.0000	0.0014	3.0992
hair	3.0000	0.0006	2.7981
breadth	1.0000	0.0002	2.4971
rarest	1.0000	0.0002	2.4971
gifts	1.0000	0.0002	2.4971
perfectly	2.0000	0.0004	2.6732
balanced	1.0000	0.0002	2.4971
frumious	2.0000	0.0004	2.6732
supposing	1.0000	0.0002	2.4971
PISTOL	1.0000	0.0002	2.4971
uttered	2.0000	0.0004	2.6732
well	7.0000	0.0014	3.0992
known	2.0000	0.0004	2.6732
under	2.0000	0.0004	2.6732
king	1.0000	0.0002	2.4971
BEZONIAN	1.0000	0.0002	2.4971
die	2.0000	0.0004	2.6732
justice	1.0000	0.0002	2.4971
shallow	1.0000	0.0002	2.4971
felt	5.0000	0.0010	2.9742
certain	1.0000	0.0002	2.4971
either	3.0000	0.0006	2.7981
WILLIAM	1.0000	0.0002	2.4971
RICHARD	1.0000	0.0002	2.4971
settle	1.0000	0.0002	2.4971
possibly	1.0000	0.0002	2.4971
name	4.0000	0.0008	2.8950
before	8.0000	0.0016	3.1503
can	3.0000	0.0006	2.7981
doubted	1.0000	0.0002	2.4971
rather	2.0000	0.0004	2.6732
gasped	1.0000	0.0002	2.4971
RILCHIAM	1.0000	0.0002	2.4971
fit	8.0000	0.0016	3.1503
landing	1.0000	0.0002	2.4971
just	5.0000	0.0010	2.9742
place	5.0000	0.0010	2.9742
cried	6.0000	0.0012	3.0412
landed	2.0000	0.0004	2.6732
crew	10.0000	0.0020	3.2375
care	11.0000	0.0022	3.2752
supporting	1.0000	0.0002	2.4971
each	8.0000	0.0016	3.1503
man	7.0000	0.0014	3.0992
top	2.0000	0.0004	2.6732
tide	1.0000	0.0002	2.4971
finger	1.0000	0.0002	2.4971
entwined	1.0000	0.0002	2.4971
said	24.0000	0.0048	3.5940
twice	2.0000	0.0004	2.6732
